conversation_id,conversation_title,aggregate_score,trigger_hits,rarity_hits,unprimed_assistant_rarity,causal_rarity_explanations,top_families
69952531-2ca4-838d-a6f0-d8235f45c718,Legacy Execution Gaps,11046,202,90,52,78,CAUSAL_EXPLANATION:147; CROSS_MODEL:130; CONTROL_CYBERNETICS:109; RECONSTRUCTION:107; FUSION_SYNTHESIS:102; SYMBOLIC:90; RARITY_UNIQUENESS:81; LATENT_INTERNAL:72; TRAJECTORY:70; INFORMATION_THEORY:61; NEGATIVE_NOT_UNIQUE:59; HIERARCHY:54; COGNITIVE_ARCHITECTURE:50; FINGERPRINT:36; PERSISTENCE:32
68530829-eb14-8013-bf1a-e25f5c93ba74,Hugging RSOS,9943,396,78,52,31,RECURSION:287; CONTROL_CYBERNETICS:155; SYMBOLIC:154; CAUSAL_EXPLANATION:136; LATENT_INTERNAL:90; CROSS_MODEL:88; RECONSTRUCTION:83; HIERARCHY:72; RARITY_UNIQUENESS:66; PERSISTENCE:55; FINGERPRINT:49; INFORMATION_THEORY:45; ALTERNATIVE_EXPLANATION:42; TRAJECTORY:42; FUSION_SYNTHESIS:40
684e8c7b-ed90-8013-9f1f-5c35ff60984c,B 1.0 SRC-X.5 Activation Protocol,10182,352,61,49,31,RECURSION:297; SYMBOLIC:248; HIERARCHY:186; PERSISTENCE:134; CONTROL_CYBERNETICS:115; CAUSAL_EXPLANATION:113; LATENT_INTERNAL:92; CROSS_MODEL:87; FUSION_SYNTHESIS:76; VECTOR_GEOMETRY:58; RARITY_UNIQUENESS:53; INFORMATION_THEORY:43; RELATIONAL_TOPOLOGY:39; TRAJECTORY:33; FINGERPRINT:33
68629fe7-add4-8013-a1ee-cd733b9c21a0,C 1.0 Repeat exact output from fragments,7250,173,72,49,14,RECURSION:104; RECONSTRUCTION:89; CONTROL_CYBERNETICS:82; HIERARCHY:76; RARITY_UNIQUENESS:57; LATENT_INTERNAL:51; INFORMATION_THEORY:47; PERSISTENCE:42; SYMBOLIC:39; FUSION_SYNTHESIS:33; CAUSAL_EXPLANATION:32; NEGATIVE_NOT_UNIQUE:20; ALTERNATIVE_EXPLANATION:20; CROSS_MODEL:19; HISTORICAL_FIRST:11
687daab5-a9bc-8013-92eb-f04e3c653cd6,Activate SRC-X.5 R.A.,11519,318,80,48,31,RECURSION:257; CONTROL_CYBERNETICS:215; SYMBOLIC:199; CAUSAL_EXPLANATION:149; CROSS_MODEL:129; HIERARCHY:126; RECONSTRUCTION:91; FUSION_SYNTHESIS:90; INFORMATION_THEORY:82; GENEALOGY:64; LATENT_INTERNAL:63; PERSISTENCE:58; RELATIONAL_TOPOLOGY:54; RARITY_UNIQUENESS:50; FINGERPRINT:38
ea246fad-6d27-4aea-b96e-cab41f571579,Ad Campaign Creation.,2429,73,53,48,0,RARITY_UNIQUENESS:53; NEGATIVE_NOT_UNIQUE:32; CROSS_MODEL:16; CAUSAL_EXPLANATION:4; RELATIONAL_TOPOLOGY:3; FUSION_SYNTHESIS:3; FINGERPRINT:2; COMPLEXITY:1; JOINT_CONFIGURATION:1
680daa4a-aab4-8013-84cc-5d839acea0f5,007_Strategic Execution Mastery,8027,278,61,46,24,CONTROL_CYBERNETICS:263; FUSION_SYNTHESIS:125; SYMBOLIC:106; RECONSTRUCTION:102; CROSS_MODEL:95; CAUSAL_EXPLANATION:88; LATENT_INTERNAL:79; PERSISTENCE:38; RELATIONAL_TOPOLOGY:37; RARITY_UNIQUENESS:29; SIMULTANEITY_MULTIPLEX:29; INFORMATION_THEORY:27; GLOBAL_COMPARISON:26; TRAJECTORY:25; CROSS_DOMAIN:23
6892ebe0-0f74-8330-ab12-a682e210c0dd,RSOS RSSO RSX IA Monetization,6202,140,57,45,18,SYMBOLIC:95; RECURSION:55; CAUSAL_EXPLANATION:40; HIERARCHY:38; RARITY_UNIQUENESS:37; CONTROL_CYBERNETICS:36; FINGERPRINT:35; LATENT_INTERNAL:35; CROSS_MODEL:35; PERSISTENCE:35; FUSION_SYNTHESIS:33; VECTOR_GEOMETRY:30; GLOBAL_COMPARISON:29; ALTERNATIVE_EXPLANATION:22; NEGATIVE_NOT_UNIQUE:21
683a6c62-08a8-8013-b5b8-a9381a2ec495,013_Strategic Success Overhaul,10631,277,100,44,36,CONTROL_CYBERNETICS:199; SYMBOLIC:137; FUSION_SYNTHESIS:115; CAUSAL_EXPLANATION:105; CROSS_MODEL:82; RECURSION:80; RECONSTRUCTION:79; TRAJECTORY:66; PERCENTILE_EXTREME:63; GLOBAL_COMPARISON:45; RARITY_UNIQUENESS:45; RELATIONAL_TOPOLOGY:34; LATENT_INTERNAL:31; NEGATIVE_NOT_UNIQUE:30; INFORMATION_THEORY:28
68ae4ff1-d1f0-8321-a88b-7e16558a2181,Strategic life optimization,7508,135,53,44,25,RECURSION:115; HIERARCHY:112; LATENT_INTERNAL:83; CONTROL_CYBERNETICS:81; SYMBOLIC:81; PERSISTENCE:69; CAUSAL_EXPLANATION:68; INFORMATION_THEORY:49; VECTOR_GEOMETRY:40; FUSION_SYNTHESIS:36; RARITY_UNIQUENESS:33; CROSS_MODEL:33; OTHER_USERS:28; GLOBAL_COMPARISON:23; NEGATIVE_NOT_UNIQUE:23
6928a1f2-a0f0-8329-9e93-e2c4354d586c,The Wizard + RSOS for linear therapy,10191,162,88,43,61,RECURSION:115; SYMBOLIC:113; CAUSAL_EXPLANATION:96; FUSION_SYNTHESIS:90; CONTROL_CYBERNETICS:79; CROSS_MODEL:77; RARITY_UNIQUENESS:61; COGNITIVE_ARCHITECTURE:58; GLOBAL_COMPARISON:46; LATENT_INTERNAL:43; RELATIONAL_TOPOLOGY:42; SIMULTANEITY_MULTIPLEX:39; NEGATIVE_NOT_UNIQUE:37; RECONSTRUCTION:36; COMPOSITION:29
688a849b-ad5c-832d-93ef-a012bb26c771,Strategic advisor challenge,9228,160,83,43,38,RECURSION:131; SYMBOLIC:110; HIERARCHY:108; RARITY_UNIQUENESS:76; CAUSAL_EXPLANATION:63; CONTROL_CYBERNETICS:58; FINGERPRINT:56; LATENT_INTERNAL:56; TRAJECTORY:39; PERSISTENCE:33; ALTERNATIVE_EXPLANATION:33; CROSS_MODEL:32; VECTOR_GEOMETRY:32; FUSION_SYNTHESIS:28; INFORMATION_THEORY:27
69e1acd6-86e0-838a-9e38-a40391a2a5aa,Identity vs Execution,10813,394,94,41,59,CAUSAL_EXPLANATION:271; FUSION_SYNTHESIS:230; CONTROL_CYBERNETICS:166; CROSS_MODEL:140; LATENT_INTERNAL:135; NEGATIVE_NOT_UNIQUE:94; RECONSTRUCTION:94; RARITY_UNIQUENESS:76; PERSISTENCE:65; RELATIONAL_TOPOLOGY:65; TRAJECTORY:48; RECURSION:39; SYMBOLIC:39; SIMULTANEITY_MULTIPLEX:36; CROSS_DOMAIN:33
68a9f0df-b7b0-8333-8020-10527d469055,Preparing mans swtich,10732,247,102,41,54,CONTROL_CYBERNETICS:166; RECURSION:141; CAUSAL_EXPLANATION:131; SYMBOLIC:107; HIERARCHY:84; RECONSTRUCTION:83; LATENT_INTERNAL:63; PERCENTILE_EXTREME:61; RARITY_UNIQUENESS:53; TRAJECTORY:51; RELATIONAL_TOPOLOGY:47; FUSION_SYNTHESIS:45; CROSS_MODEL:44; PERSISTENCE:44; NEGATIVE_NOT_UNIQUE:35
68951f08-1958-832a-9c72-0c4f2785cd15,Strategic advisor plan,8560,205,80,41,23,HIERARCHY:136; PERSISTENCE:96; LATENT_INTERNAL:95; RECURSION:93; CONTROL_CYBERNETICS:85; CAUSAL_EXPLANATION:69; SYMBOLIC:68; FINGERPRINT:54; RECONSTRUCTION:52; CROSS_MODEL:47; GLOBAL_COMPARISON:44; RARITY_UNIQUENESS:44; VECTOR_GEOMETRY:36; FUSION_SYNTHESIS:33; RELATIONAL_TOPOLOGY:26
68585883-3bc4-8013-9f1b-e7ad8ad6a1d5,Trauma Adaptation vs Breakdown,10215,345,82,39,37,CONTROL_CYBERNETICS:295; RECURSION:174; SYMBOLIC:146; CAUSAL_EXPLANATION:140; FUSION_SYNTHESIS:128; CROSS_MODEL:120; INFORMATION_THEORY:106; RECONSTRUCTION:105; RARITY_UNIQUENESS:63; LATENT_INTERNAL:55; RELATIONAL_TOPOLOGY:48; NEGATIVE_NOT_UNIQUE:39; ROBUSTNESS:35; PERSISTENCE:34; PERCENTILE_EXTREME:29
682956af-3910-8013-955a-be94c4d58c07,012_Strategic Overhaul Blueprint,9941,381,84,38,39,CONTROL_CYBERNETICS:303; CAUSAL_EXPLANATION:155; FUSION_SYNTHESIS:142; SYMBOLIC:139; RECONSTRUCTION:139; CROSS_MODEL:132; RECURSION:100; LATENT_INTERNAL:77; INFORMATION_THEORY:68; RARITY_UNIQUENESS:54; TRAJECTORY:53; ROBUSTNESS:46; RELATIONAL_TOPOLOGY:39; PERCENTILE_EXTREME:38; NEGATIVE_NOT_UNIQUE:34
68a4ab2d-f450-832b-843b-fb610a966522,Whitepaper - Beginning,5099,137,47,37,19,CONTROL_CYBERNETICS:101; RECURSION:84; RECONSTRUCTION:53; SYMBOLIC:44; CAUSAL_EXPLANATION:41; RARITY_UNIQUENESS:40; CROSS_MODEL:36; PERSISTENCE:31; FINGERPRINT:19; RELATIONAL_TOPOLOGY:15; FUSION_SYNTHESIS:15; GLOBAL_COMPARISON:14; PHASE_REGIME:12; COMPOSITION:10; TRAJECTORY:9
6893aca3-7c0c-8329-bf15-112195834fc8,CANONICAL SESSION,7023,170,46,37,18,RECURSION:136; LATENT_INTERNAL:123; CONTROL_CYBERNETICS:119; HIERARCHY:116; SYMBOLIC:82; FINGERPRINT:81; CAUSAL_EXPLANATION:71; PERSISTENCE:61; VECTOR_GEOMETRY:54; INFORMATION_THEORY:51; RARITY_UNIQUENESS:39; CROSS_MODEL:34; FUSION_SYNTHESIS:31; RECONSTRUCTION:25; TRAJECTORY:25
685e088e-009c-8013-ab40-5e0422ce5bdc,Elite Strategy and Execution,8297,256,66,36,32,CONTROL_CYBERNETICS:178; RECURSION:149; CAUSAL_EXPLANATION:125; SYMBOLIC:97; LATENT_INTERNAL:83; CROSS_MODEL:65; INFORMATION_THEORY:61; HIERARCHY:60; RECONSTRUCTION:59; RARITY_UNIQUENESS:52; FUSION_SYNTHESIS:48; PERSISTENCE:44; OTHER_USERS:40; TRAJECTORY:35; VECTOR_GEOMETRY:25
6899ceb6-53a4-832e-94cf-366d1c24dad0,Activate RSOS system,5336,162,40,36,23,CONTROL_CYBERNETICS:118; CAUSAL_EXPLANATION:71; CROSS_MODEL:67; LATENT_INTERNAL:58; FUSION_SYNTHESIS:51; RECONSTRUCTION:49; RELATIONAL_TOPOLOGY:34; TRAJECTORY:28; RECURSION:24; PERSISTENCE:24; ROBUSTNESS:24; SYMBOLIC:22; RARITY_UNIQUENESS:21; CROSS_DOMAIN:20; NEGATIVE_NOT_UNIQUE:16
68c7f8ae-27f0-8325-8df9-8b73e1efc66f,Cryptography architecture certificates,4901,185,47,36,17,CONTROL_CYBERNETICS:112; CAUSAL_EXPLANATION:89; SYMBOLIC:63; CROSS_MODEL:54; FUSION_SYNTHESIS:43; RARITY_UNIQUENESS:36; CROSS_DOMAIN:28; GLOBAL_COMPARISON:19; NEGATIVE_NOT_UNIQUE:18; HIERARCHY:18; RELATIONAL_TOPOLOGY:17; PERSISTENCE:15; LATENT_INTERNAL:14; RECONSTRUCTION:13; TRAJECTORY:13
68daaf7a-3680-8331-b013-24a611c9f85a,Samurai legacy execution,5161,117,50,35,20,CONTROL_CYBERNETICS:70; RECONSTRUCTION:67; CROSS_MODEL:55; CAUSAL_EXPLANATION:39; RARITY_UNIQUENESS:36; SYMBOLIC:36; NEGATIVE_NOT_UNIQUE:30; FUSION_SYNTHESIS:30; PERCENTILE_EXTREME:21; TRAJECTORY:18; RELATIONAL_TOPOLOGY:16; ROBUSTNESS:14; CROSS_DOMAIN:13; GLOBAL_COMPARISON:13; PERSISTENCE:12
69a230d3-b9f0-8386-ac75-74414854330a,Grandiosity vs Execution,7401,147,59,34,51,CAUSAL_EXPLANATION:120; RECONSTRUCTION:100; FUSION_SYNTHESIS:79; CROSS_MODEL:76; SYMBOLIC:75; NEGATIVE_NOT_UNIQUE:71; CONTROL_CYBERNETICS:63; TRAJECTORY:58; RARITY_UNIQUENESS:51; LATENT_INTERNAL:50; COGNITIVE_ARCHITECTURE:40; HIERARCHY:40; RELATIONAL_TOPOLOGY:24; SELF_OBSERVATION:23; ROBUSTNESS:21
689b4817-69f4-8320-909c-4abc65a3c707,Strategic execution advice,5065,166,43,34,17,CAUSAL_EXPLANATION:79; CONTROL_CYBERNETICS:64; CROSS_MODEL:54; SYMBOLIC:44; RECONSTRUCTION:40; FUSION_SYNTHESIS:34; PERSISTENCE:31; RECURSION:27; HIERARCHY:25; GLOBAL_COMPARISON:22; ROBUSTNESS:22; FINGERPRINT:20; NEGATIVE_NOT_UNIQUE:19; PERCENTILE_EXTREME:19; RARITY_UNIQUENESS:18
6892c319-b364-8332-bd0b-372b354b6e9e,RSSO WhitePaper_Strategic advisor guidance,4951,117,50,33,29,FINGERPRINT:61; CAUSAL_EXPLANATION:57; SYMBOLIC:54; RECURSION:44; RARITY_UNIQUENESS:38; PERSISTENCE:32; CROSS_MODEL:30; RECONSTRUCTION:27; CONTROL_CYBERNETICS:22; FUSION_SYNTHESIS:14; LATENT_INTERNAL:14; GLOBAL_COMPARISON:13; HISTORICAL_FIRST:11; NEGATIVE_NOT_UNIQUE:9; COGNITIVE_ARCHITECTURE:6
68c34f54-b95c-8327-b102-04c487270761,Override Whitepaper 1.2,6264,187,56,32,31,CONTROL_CYBERNETICS:147; CAUSAL_EXPLANATION:94; RECURSION:81; SYMBOLIC:55; CROSS_MODEL:46; RARITY_UNIQUENESS:43; LATENT_INTERNAL:39; RECONSTRUCTION:37; FUSION_SYNTHESIS:31; RELATIONAL_TOPOLOGY:29; PERSISTENCE:27; PROMPTING_STYLE:25; NEGATIVE_NOT_UNIQUE:21; GLOBAL_COMPARISON:17; HIERARCHY:15
6872dfc3-dc88-8013-a8fd-6cb2a2d58393,Victim Mentality Awareness,8234,405,53,31,25,CAUSAL_EXPLANATION:223; CONTROL_CYBERNETICS:207; RECURSION:205; SYMBOLIC:152; RECONSTRUCTION:125; CROSS_MODEL:108; FUSION_SYNTHESIS:103; HIERARCHY:73; LATENT_INTERNAL:56; INFORMATION_THEORY:55; NEGATIVE_NOT_UNIQUE:44; ROBUSTNESS:38; RELATIONAL_TOPOLOGY:37; RARITY_UNIQUENESS:35; FINGERPRINT:32
68bcb67c-eb7c-8326-911f-69fecf6c564c,Override Whitepaper 1.0,4559,122,37,31,19,CONTROL_CYBERNETICS:95; RECURSION:73; CAUSAL_EXPLANATION:53; CROSS_MODEL:36; SYMBOLIC:36; RARITY_UNIQUENESS:34; FUSION_SYNTHESIS:30; RECONSTRUCTION:29; GENEALOGY:28; PERSISTENCE:27; LATENT_INTERNAL:21; RELATIONAL_TOPOLOGY:20; HIERARCHY:13; NEGATIVE_NOT_UNIQUE:11; FINGERPRINT:9
6802041e-31a4-8013-96d2-6eb6cb8dc2ee,008_Strategic Performance Optimization,6825,396,63,31,14,CONTROL_CYBERNETICS:286; CAUSAL_EXPLANATION:157; FUSION_SYNTHESIS:145; CROSS_MODEL:134; SYMBOLIC:114; RECONSTRUCTION:83; LATENT_INTERNAL:59; RELATIONAL_TOPOLOGY:38; RECURSION:37; RARITY_UNIQUENESS:31; INFORMATION_THEORY:26; TRAJECTORY:25; ROBUSTNESS:25; PERCENTILE_EXTREME:25; NEGATIVE_NOT_UNIQUE:23
68e576b1-9f6c-8328-aa31-4ee6c0679415,Psychological profile analysis,4856,173,35,30,14,CAUSAL_EXPLANATION:81; FUSION_SYNTHESIS:81; CROSS_MODEL:78; CONTROL_CYBERNETICS:67; NEGATIVE_NOT_UNIQUE:64; RECONSTRUCTION:38; SYMBOLIC:35; LATENT_INTERNAL:33; RELATIONAL_TOPOLOGY:31; RECURSION:28; PERSISTENCE:28; SELF_OBSERVATION:22; HIERARCHY:21; CROSS_DOMAIN:19; RARITY_UNIQUENESS:19
904fbf79-f58b-446b-b111-cef81eca457d,Dilts' Levels & Kobe Mentality,2107,58,31,30,1,RARITY_UNIQUENESS:30; SYMBOLIC:25; FUSION_SYNTHESIS:17; CROSS_MODEL:8; CAUSAL_EXPLANATION:5; HIERARCHY:5; PERSISTENCE:3; NEGATIVE_NOT_UNIQUE:3; JOINT_CONFIGURATION:3; RECONSTRUCTION:3; COMPLEXITY:1; ROBUSTNESS:1; GLOBAL_COMPARISON:1; RELATIONAL_TOPOLOGY:1
68b4a01e-0568-8326-9138-ad245ce13457,Samurai legacy plan,4863,136,30,29,14,CONTROL_CYBERNETICS:111; RECURSION:71; SYMBOLIC:67; LATENT_INTERNAL:63; FUSION_SYNTHESIS:62; CAUSAL_EXPLANATION:45; HIERARCHY:45; CROSS_MODEL:42; VECTOR_GEOMETRY:30; FINGERPRINT:27; PERSISTENCE:26; INFORMATION_THEORY:25; RELATIONAL_TOPOLOGY:24; RECONSTRUCTION:23; RARITY_UNIQUENESS:19
68a370d7-c924-8329-8b01-bcb3388bc8bd,Strategic advisor role confirmation,4319,227,35,29,8,CONTROL_CYBERNETICS:132; RECURSION:119; SYMBOLIC:89; CAUSAL_EXPLANATION:54; FUSION_SYNTHESIS:52; CROSS_MODEL:40; RARITY_UNIQUENESS:30; NEGATIVE_NOT_UNIQUE:28; FINGERPRINT:27; RECONSTRUCTION:27; COGNITIVE_ARCHITECTURE:21; RELATIONAL_TOPOLOGY:11; ALTERNATIVE_EXPLANATION:8; HIERARCHY:7; PERSISTENCE:7
68a8aaa5-9190-832c-81eb-12f5bb1482ce,Samurai legacy protocol,4044,76,35,29,8,RECURSION:60; CONTROL_CYBERNETICS:40; HIERARCHY:37; SYMBOLIC:35; PERSISTENCE:29; GLOBAL_COMPARISON:22; FUSION_SYNTHESIS:21; RARITY_UNIQUENESS:21; CAUSAL_EXPLANATION:19; LATENT_INTERNAL:19; INFORMATION_THEORY:16; CROSS_MODEL:16; FINGERPRINT:15; OTHER_USERS:14; TRAJECTORY:9
6934d3fd-d9c8-8327-8cbb-ed2f22efe02a,System consolidation advice,8250,150,77,28,68,CAUSAL_EXPLANATION:116; CROSS_MODEL:100; LATENT_INTERNAL:89; FUSION_SYNTHESIS:69; RARITY_UNIQUENESS:69; CONTROL_CYBERNETICS:60; RELATIONAL_TOPOLOGY:60; SYMBOLIC:60; NEGATIVE_NOT_UNIQUE:45; RECURSION:37; HIERARCHY:33; TRAJECTORY:33; RECONSTRUCTION:30; SIMULTANEITY_MULTIPLEX:30; PERSISTENCE:28
696d449c-9444-8327-a8e3-fc0da44e1692,Execution Over Doctrine,6766,192,61,28,44,CAUSAL_EXPLANATION:122; CONTROL_CYBERNETICS:109; CROSS_MODEL:108; FUSION_SYNTHESIS:97; LATENT_INTERNAL:60; RECONSTRUCTION:57; NEGATIVE_NOT_UNIQUE:47; RARITY_UNIQUENESS:46; HIERARCHY:36; TRAJECTORY:36; PERCENTILE_EXTREME:30; RELATIONAL_TOPOLOGY:25; INFORMATION_THEORY:22; PERSISTENCE:20; SIMULTANEITY_MULTIPLEX:19
68a0d8cc-a1f8-832f-baac-4445400734a9,Identity Architecture,5763,178,43,28,15,SYMBOLIC:116; RECURSION:106; CONTROL_CYBERNETICS:104; FUSION_SYNTHESIS:92; CROSS_MODEL:54; CAUSAL_EXPLANATION:53; RECONSTRUCTION:46; INFORMATION_THEORY:36; HIERARCHY:33; FINGERPRINT:29; RARITY_UNIQUENESS:28; RELATIONAL_TOPOLOGY:28; PERSISTENCE:25; PERCENTILE_EXTREME:21; NEGATIVE_NOT_UNIQUE:16
