SOURCE_PATH,CLASS,SCIENTIFIC_NEGATIVE,METHODOLOGICAL_INVALIDATION,PRESERVE
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\1bf6cdf727a2386ce1588562.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\246945e3298674235aa0a0eb.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\2f392643c26682104d62f884.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\5e7c665e30231a7c5b9ebecc.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\935cb8709451c290e72a9c91.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\97113a48e0e150683a56c6a9.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\bdacf3194d2b904916f1e0fa.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\c2a258c2407fc30adb2ffb38.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\c725ca75c8e8bd40342f2683.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\d6f13a2ed2047bf48a2f8882.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\WF2_ACTIVE_PARSE_FAILURE_RETRY_FREEZE.txt,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_PRE_RETRY\WF2_ACTIVE_PARSE_FAILURES_PRE_RETRY_SHA256.csv,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_RETRY_02\c2a258c2407fc30adb2ffb38.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_RETRY_02\c725ca75c8e8bd40342f2683.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_RETRY_02\WF2_ACTIVE_PARSE_FAILURE_RETRY_02_FREEZE.txt,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW\ACTIVE_CAUSAL_TECHNICAL_PARSE_FAILURES_RETRY_02\WF2_ACTIVE_PARSE_FAILURES_RETRY_02_SHA256.csv,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\06_DIAGNOSTIC\PRE_R2_TECHNICAL_FAILURES\298c04ebbd842f992631993d.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\06_DIAGNOSTIC\PRE_R2_TECHNICAL_FAILURES\31ea5a32a88312cf1cb99db3.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\06_DIAGNOSTIC\PRE_R2_TECHNICAL_FAILURES\6f87c98c56da9ae1299f4614.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\06_DIAGNOSTIC\PRE_R2_TECHNICAL_FAILURES\948353fa77462b6b74f86ef5.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\06_DIAGNOSTIC\PRE_R2_TECHNICAL_FAILURES\d813d809f8d96ee8c3d26f62.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\06_DIAGNOSTIC\PRE_R2_TECHNICAL_FAILURES\ea84eb4aced8fc427600f6a8.json,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\06_DIAGNOSTIC\PRE_R2_TECHNICAL_FAILURES\WF2_EXECUTION_LOG_PRE_R2.jsonl,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\08_FINAL_FREEZE\SCORING_AUDIT\WF2_FINAL_ADJUDICATION_TECHNICAL_FAILURE_01_MISSING_PYARROW.txt,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\08_FINAL_FREEZE\SCORING_AUDIT\WF2_PASSIVE_ADJUDICATION_TECHNICAL_FAILURE_02_SKLEARN_MISMATCH.txt,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
