FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,.csv,1554,2026-09-11T20:47:39.0449088Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,.zip,2110934,2026-09-11T20:47:44.2394396Z,2026-09-11T19:43:24.4204243Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,02_INPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,.zip,312923719,2026-09-11T20:47:46.5912334Z,2026-09-11T20:12:48.6242420Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1_DEV_LMARENA_BLIND_R1.zip,.zip,11798185,2026-09-11T20:47:39.6704242Z,2026-09-11T16:27:50.7775059Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,08_PACKAGE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,.zip,125986400,2026-09-11T20:47:40.9363106Z,2026-09-11T16:53:46.6161573Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,05_OUTPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,.zip,63138359,2026-09-11T20:47:42.5288071Z,2026-09-11T17:11:59.1677075Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,05_OUTPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip,F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip,.zip,382917,2026-09-11T20:47:43.2811014Z,2026-09-11T17:47:47.3776761Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,.zip,1081086,2026-09-11T20:47:43.6073009Z,2026-09-11T18:06:59.8344526Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\02_F1_FINAL_STATUS_LEDGER.csv,02_F1_FINAL_STATUS_LEDGER.csv,.csv,4034,2026-09-11T20:47:39.1324006Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,00_CONTROL,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\03_F1_FINAL_ADJUDICATION.md,03_F1_FINAL_ADJUDICATION.md,.md,2696,2026-09-11T20:47:39.1435356Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,07_ADJUDICATION,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\04_F1_CLAIM_LADDER.csv,04_F1_CLAIM_LADDER.csv,.csv,677,2026-09-11T20:47:39.1578757Z,2026-09-11T17:36:20.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\05_F2_FROZEN_PREOPEN_SPEC.md,05_F2_FROZEN_PREOPEN_SPEC.md,.md,3214,2026-09-11T20:47:39.1730246Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\06_F2_AUTHORIZATION.txt,06_F2_AUTHORIZATION.txt,.txt,388,2026-09-11T20:47:39.1890145Z,2026-09-11T17:34:08.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\07_CHAIN_OF_CUSTODY.json,07_CHAIN_OF_CUSTODY.json,.json,2775,2026-09-11T20:47:39.2051667Z,2026-09-11T17:34:08.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv,08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv,.csv,2015,2026-09-11T20:47:39.2191543Z,2026-09-11T17:36:20.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,00_CONTROL,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\09_LOCAL_SOURCE_RESOLUTION.csv,09_LOCAL_SOURCE_RESOLUTION.csv,.csv,1899,2026-09-11T20:47:48.7681399Z,2026-09-11T20:47:48.7681399Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,02_INPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\10_UNAVAILABLE_SOURCE_LEDGER.csv,10_UNAVAILABLE_SOURCE_LEDGER.csv,.csv,295,2026-09-11T20:47:48.7691394Z,2026-09-11T20:47:48.7701393Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,02_INPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\11_LOCAL_FREEZE_CORRECTION.txt,11_LOCAL_FREEZE_CORRECTION.txt,.txt,720,2026-09-11T20:47:48.8303330Z,2026-09-11T20:47:48.8313324Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\12_RAW_CORPUS_SHA256_MANIFEST.csv,12_RAW_CORPUS_SHA256_MANIFEST.csv,.csv,4096,2026-09-11T20:47:51.5978781Z,2026-09-11T20:47:51.5991383Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\13_LOCAL_FINAL_CONTENT_MANIFEST.csv,13_LOCAL_FINAL_CONTENT_MANIFEST.csv,.csv,2494,2026-09-11T20:47:54.9878831Z,2026-09-11T20:47:54.9888820Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,00_CONTROL,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\README_F1_FINAL.txt,README_F1_FINAL.txt,.txt,757,2026-09-11T20:47:39.2332143Z,2026-09-11T17:34:08.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,00_CONTROL,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE
C:\RSOS\H1_INPUTS\F1_FINAL_COMPLETE_LOCAL.zip,F1_FINAL_COMPLETE_LOCAL.zip,.zip,518003991,2026-09-12T04:29:41.2419045Z,2026-09-11T20:48:11.3762277Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\H1_INPUTS\F1_FINAL_COMPLETE_LOCAL.zip
C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip,F1_FINAL_COMPLETE_LOCAL.zip,.zip,518003991,2026-09-12T01:29:03.1857530Z,2026-09-11T20:48:11.3762277Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE
C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip.part001,F1_FINAL_COMPLETE_LOCAL.zip.part001,.part001,172667997,2026-09-12T01:31:14.4436267Z,2026-09-12T01:31:14.8252234Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE
C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip.part002,F1_FINAL_COMPLETE_LOCAL.zip.part002,.part002,172667997,2026-09-12T01:31:14.8272288Z,2026-09-12T01:31:15.3093346Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE
C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\F1_FINAL_COMPLETE_LOCAL_SPLIT_3\F1_FINAL_COMPLETE_LOCAL.zip.part003,F1_FINAL_COMPLETE_LOCAL.zip.part003,.part003,172667997,2026-09-12T01:31:15.3113345Z,2026-09-12T01:31:15.7843612Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE
