SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR,ORIGINAL_PHASE8G_DESTINATION,HYDRATION_VERSION
11,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V2\API_V2_PREREGISTRATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\01_PROTOCOL\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V2\API_V2_PREREGISTRATION.json,01_PROTOCOL,1729,c4507b24a0b85746a25dc69cd16ec7e9f87a2160273899b4e38be3acf55aad25,c4507b24a0b85746a25dc69cd16ec7e9f87a2160273899b4e38be3acf55aad25,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\01_PROTOCOL\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V2\API_V2_PREREGISTRATION.json,PHASE8G_ORIGINAL_VERIFIED
12,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\03_RUNNER\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_FROZEN_RUNNER.py,03_RUNNER,52713,88397659b6eddfb3c6fdb60f5e1724ebf1d1f33a2399b868ad0d8a2e991e8a91,88397659b6eddfb3c6fdb60f5e1724ebf1d1f33a2399b868ad0d8a2e991e8a91,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\03_RUNNER\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_FROZEN_RUNNER.py,PHASE8G_ORIGINAL_VERIFIED
13,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_RUNNER_SHA256.txt,09_FREEZE,66,4c4a61f79885b0d3a223cd1eb45513b4759a736f27ad661bb5fa7712958530aa,4c4a61f79885b0d3a223cd1eb45513b4759a736f27ad661bb5fa7712958530aa,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_RUNNER_SHA256.txt,PHASE8G_ORIGINAL_VERIFIED
14,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\03_FROZEN_SPECIFICATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\03_FROZEN_SPECIFICATION.json,09_FREEZE,3213,6e3834e60e21d50b741e64f0475d9ed7470b58a28afde25d2422629b3466cdab,6e3834e60e21d50b741e64f0475d9ed7470b58a28afde25d2422629b3466cdab,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\03_FROZEN_SPECIFICATION.json,PHASE8G_ORIGINAL_VERIFIED
15,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\04_FROZEN_SPECIFICATION_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\04_FROZEN_SPECIFICATION_SHA256.txt,09_FREEZE,66,97e928f1695fc414ade5fa5078c71b3692a5e7a4ae68cb66c706afdf23f7a37b,97e928f1695fc414ade5fa5078c71b3692a5e7a4ae68cb66c706afdf23f7a37b,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\04_FROZEN_SPECIFICATION_SHA256.txt,PHASE8G_ORIGINAL_VERIFIED
16,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\05_FROZEN_PROMPTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\05_FROZEN_PROMPTS.csv,09_FREEZE,669547,5aedaebca78e1d0c55a503598b9e9184315802298651ccc3803cb1f73f28ce82,5aedaebca78e1d0c55a503598b9e9184315802298651ccc3803cb1f73f28ce82,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\05_FROZEN_PROMPTS.csv,PHASE8G_ORIGINAL_VERIFIED
17,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\06_SCORED_RESPONSES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\06_SCORED_RESPONSES.csv,05_OUTPUTS,341508,a99b31be4119076976f4767b2567b61af0fbcc55b4ee74e8eefed38968fd4a79,a99b31be4119076976f4767b2567b61af0fbcc55b4ee74e8eefed38968fd4a79,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\06_SCORED_RESPONSES.csv,PHASE8G_ORIGINAL_VERIFIED
18,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\07_SEED_LEVEL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\07_SEED_LEVEL_RESULTS.csv,05_OUTPUTS,50057,fba856d4dcb6d4e69d4e91ed0510f824fb7099748fa9a40304b2ec99ea74e5cc,fba856d4dcb6d4e69d4e91ed0510f824fb7099748fa9a40304b2ec99ea74e5cc,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\07_SEED_LEVEL_RESULTS.csv,PHASE8G_ORIGINAL_VERIFIED
19,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\08_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\08_CONDITION_RESULTS.csv,05_OUTPUTS,1477,229c1b531823b7f21f5399d24cf50d68f0f8aa3f225bdc47c5aeb35ce84eff48,229c1b531823b7f21f5399d24cf50d68f0f8aa3f225bdc47c5aeb35ce84eff48,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\08_CONDITION_RESULTS.csv,PHASE8G_ORIGINAL_VERIFIED
20,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\09_DECISIVE_CONTRASTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\09_DECISIVE_CONTRASTS.csv,05_OUTPUTS,1736,426fac11a7a123782ff99c6dbd6ba197136cf9de00b6dea9631a9026cb866594,426fac11a7a123782ff99c6dbd6ba197136cf9de00b6dea9631a9026cb866594,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\09_DECISIVE_CONTRASTS.csv,PHASE8G_ORIGINAL_VERIFIED
21,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\12_FINAL_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\07_ADJUDICATION\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\12_FINAL_SUMMARY.json,07_ADJUDICATION,10560,fd62ac414e84704c2c3fc18377d1bdb860e85c8f3b9f8c2f911969e66a6a0e39,fd62ac414e84704c2c3fc18377d1bdb860e85c8f3b9f8c2f911969e66a6a0e39,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\07_ADJUDICATION\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\12_FINAL_SUMMARY.json,PHASE8G_ORIGINAL_VERIFIED
