SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR,ORIGINAL_PHASE8G_DESTINATION,HYDRATION_VERSION
181,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\01_CALIBRATION\F1_CALIBRATION_FEATURE_IMPORTANCE.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\01_CALIBRATION\F1_CALIBRATION_FEATURE_IMPORTANCE.csv,05_OUTPUTS,576,e280b277729d618fb216667aad12aade4328afc9555f7048e2b33aeba85ed25e,e280b277729d618fb216667aad12aade4328afc9555f7048e2b33aeba85ed25e,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\01_CALIBRATION\F1_CALIBRATION_FEATURE_IMPORTANCE.csv,PHASE8G_ORIGINAL_VERIFIED
182,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\01_CALIBRATION\F1_RELATIONAL_DEPENDENCE_CALIBRATION.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\01_CALIBRATION\F1_RELATIONAL_DEPENDENCE_CALIBRATION.csv,00_CONTROL,171,285bf07c6d3af3f0df0966d4b69b0eebb3627ff2174cab4683ac38b7cf1a1186,285bf07c6d3af3f0df0966d4b69b0eebb3627ff2174cab4683ac38b7cf1a1186,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\01_CALIBRATION\F1_RELATIONAL_DEPENDENCE_CALIBRATION.csv,PHASE8G_ORIGINAL_VERIFIED
183,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_FEATURE_RELATION_GRAPH_PREHOLDOUT.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_FEATURE_RELATION_GRAPH_PREHOLDOUT.csv,05_OUTPUTS,3557,6bdd4fbac92b098f442b4c6ef1cf18b0aa04b71275a0735bcf7abb37cedd5114,6bdd4fbac92b098f442b4c6ef1cf18b0aa04b71275a0735bcf7abb37cedd5114,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_FEATURE_RELATION_GRAPH_PREHOLDOUT.csv,PHASE8G_ORIGINAL_VERIFIED
184,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.csv,00_CONTROL,8866564,ee7191926107d62edc0c22d050547812ad8aeae267be5d76537e2f17e8f07cee,ee7191926107d62edc0c22d050547812ad8aeae267be5d76537e2f17e8f07cee,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.csv,PHASE8G_ORIGINAL_VERIFIED
185,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.parquet,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.parquet,00_CONTROL,3940837,e6dd468d9a26e34832cdcf2dd0b0651089bb0523b957a88e3325af1ebd71554f,e6dd468d9a26e34832cdcf2dd0b0651089bb0523b957a88e3325af1ebd71554f,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_BLIND_U_ASSIGNMENTS.parquet,PHASE8G_ORIGINAL_VERIFIED
186,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_CLUSTER_MODEL_SELECTION.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_CLUSTER_MODEL_SELECTION.csv,00_CONTROL,970,96d98c6f3b9f47246cab08ca084c9435e5bd27f9e483452bd7296b9391af1e6e,96d98c6f3b9f47246cab08ca084c9435e5bd27f9e483452bd7296b9391af1e6e,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_CLUSTER_MODEL_SELECTION.csv,PHASE8G_ORIGINAL_VERIFIED
187,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_PRIMARY_DERIVED_BLIND_FEATURE_MATRIX.parquet,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_PRIMARY_DERIVED_BLIND_FEATURE_MATRIX.parquet,05_OUTPUTS,3842834,86f9630ca82f0b3fe2737ed824fdfc2edd7336728d45f0ff9ee2b853dc8fdf71,86f9630ca82f0b3fe2737ed824fdfc2edd7336728d45f0ff9ee2b853dc8fdf71,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_PRIMARY_DERIVED_BLIND_FEATURE_MATRIX.parquet,PHASE8G_ORIGINAL_VERIFIED
188,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_U_CENTROIDS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_U_CENTROIDS.csv,00_CONTROL,785,bc1e266865c988d0af929f867766fce308a7b856c08a2b9eca8a0544880da1b1,bc1e266865c988d0af929f867766fce308a7b856c08a2b9eca8a0544880da1b1,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\02_BLIND_DISCOVERY\F1_U_CENTROIDS.csv,PHASE8G_ORIGINAL_VERIFIED
189,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_BLIND_CLUSTER_METRICS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_BLIND_CLUSTER_METRICS.csv,05_OUTPUTS,359,1ad6caaa3d5f5802e768ba84832b55122f4795c9ab2fbb2d2164c323123d2c2b,1ad6caaa3d5f5802e768ba84832b55122f4795c9ab2fbb2d2164c323123d2c2b,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_BLIND_CLUSTER_METRICS.csv,PHASE8G_ORIGINAL_VERIFIED
190,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_BLIND_GRAPH_STABILITY.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_BLIND_GRAPH_STABILITY.csv,00_CONTROL,145,8e8914d931aca17e908ffb4b803b1f0c3c77171f3dc34776fcc57dc4279daedd,8e8914d931aca17e908ffb4b803b1f0c3c77171f3dc34776fcc57dc4279daedd,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\00_CONTROL\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_BLIND_GRAPH_STABILITY.csv,PHASE8G_ORIGINAL_VERIFIED
191,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_FEATURE_RELATION_GRAPH_HOLDOUT.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_FEATURE_RELATION_GRAPH_HOLDOUT.csv,05_OUTPUTS,4577,932f2bc182d8fb5df944dbcd971016fffcf8c82a8bd2866ae15c797397f970ce,932f2bc182d8fb5df944dbcd971016fffcf8c82a8bd2866ae15c797397f970ce,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\05_OUTPUTS\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\04_DEVELOPMENT_HOLDOUT\F1_FEATURE_RELATION_GRAPH_HOLDOUT.csv,PHASE8G_ORIGINAL_VERIFIED
192,RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\05_POSTFREEZE_UNBLIND_AUDIT\F1_POSTFREEZE_CONFOUND_AUDIT.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\05_POSTFREEZE_UNBLIND_AUDIT\F1_POSTFREEZE_CONFOUND_AUDIT.csv,09_FREEZE,1155,b2cf26c3674fc5168b838dff3e035c491d715deeeb59b6d24d8b87a1cc536af5,b2cf26c3674fc5168b838dff3e035c491d715deeeb59b6d24d8b87a1cc536af5,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1\09_FREEZE\SOURCE\Training data\F1_DEV_LMARENA_BLIND_R1\05_POSTFREEZE_UNBLIND_AUDIT\F1_POSTFREEZE_CONFOUND_AUDIT.csv,PHASE8G_ORIGINAL_VERIFIED
