"TYPE","ID","SOURCE","SOURCE_EXISTS","SOURCE_FILES","SOURCE_BYTES","DESTINATION","DESTINATION_EXISTS","MAPPING_STATUS"
"CANONICAL_EXPERIMENT","EXP-009","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map","YES","40","24432150","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-009__V12_-_Relational_Topology_Causal_Map","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-010","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final","YES","36","517542274","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-010__F1_-_Blind_Longitudinal_Rediscovery_Final","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-011","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity","YES","66","2472272250","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-011__F2_-_External_Population_Rarity","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-012","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\026_EXP-012__F2_B_Corrected_External_Rarity","YES","64","22452188","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-012__F2-B_-_Corrected_External_Rarity","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-013","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge","YES","40","346205369","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-013__WF1-P0_-_Historical_Corpus_Bridge","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-014","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology","YES","154","56405926","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-015","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation","YES","126","1873163690","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-015__WF1-B_-_External_Population_Confirmation","YES","PASS"
"CANONICAL_EXPERIMENT","EXP-016","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation","YES","2416","134418920","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-016__WF2_-_Prospective_Cross-System_Confirmation","YES","PASS"
"HISTORICAL_RUN","RUN-001","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication","YES","148","78705528","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication","YES","PASS"
"HISTORICAL_RUN","RUN-002","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run","YES","24","6231441","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run","YES","PASS"
"HISTORICAL_RUN","RUN-003","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch","YES","25","11551434","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-003__V11_-_Original_Structural_Metric_Branch","YES","PASS"
"HISTORICAL_RUN","RUN-004","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1","YES","38","28713386","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-004__F1_Development_-_LM_Arena_Blind_R1","YES","PASS"
"HISTORICAL_RUN","RUN-005","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-005__F1_Development_R2_LM_Arena_Blind_Hardened","YES","27","253659436","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-005__F1_Development_R2_-_LM_Arena_Blind_Hardened","YES","PASS"
"HISTORICAL_RUN","RUN-006","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened","YES","33","254247464","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-006__F1_Development_R3_-_LM_Arena_Blind_Hardened","YES","PASS"
"HISTORICAL_RUN","RUN-007","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration","YES","30","966251","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-007__F1_Development_R4_-_V12_Graph_Calibration","YES","PASS"
"HISTORICAL_RUN","RUN-008","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator","YES","35","2450666","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-008__F1_Development_R5_-_V12_Specificity_Operator","YES","PASS"
"HISTORICAL_RUN","RUN-009","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch","YES","52","789894303","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-009__F2-A_-_Incomplete_Earlier_Branch","YES","PASS"
"HISTORICAL_RUN","RUN-010","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-010__F2_BR0_Full_Fingerprint_Recovery","YES","209","862197970","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-010__F2_BR0_-_Full_Fingerprint_Recovery","YES","PASS"
"ACTIVE_EXPERIMENT","WF3_R2","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2","YES","22","5842415","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2","YES","PASS"
"ARCHIVE","WF3_PREEXECUTION","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION","YES","67","45968937","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\90_ARCHIVE\WF3_PREEXECUTION","YES","PASS"
"ARCHIVE","WF3_R2_PREEXISTING","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2_PREEXISTING_20260915T214341Z","YES","9","5790507","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\90_ARCHIVE\WF3_R2_PREEXISTING","YES","PASS"
