FILE_NAME,FULL_PATH,EXISTS,SIZE_BYTES,SHARD_NUMBER,ROW_COUNT,COLUMN_COUNT,COLUMNS,POPULATION_ID_COLUMNS,EXACT_UPSTREAM_REFERENCE,SHARD_UPSTREAM_REFERENCE,PRELIMINARY_STATUS,ERROR
train-00051-of-00086.parquet,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT\train-00051-of-00086.parquet,True,156188404,51,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00052-of-00086.parquet,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT\train-00052-of-00086.parquet,True,217887036,52,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00054-of-00086.parquet,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT\train-00054-of-00086.parquet,True,190323883,54,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00049-of-00086.parquet,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00049-of-00086.parquet,True,103170595,49,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00080-of-00086.parquet,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00080-of-00086.parquet,True,186001659,80,37207,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00085-of-00086.parquet,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00085-of-00086.parquet,True,496266956,85,37207,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
WILDCHAT_EXACT_FROZEN_FEATURES.parquet,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\04_EXTERNAL_FEATURES\WILDCHAT_EXACT_FROZEN_FEATURES.parquet,True,1689239,,6765,43,BLIND_EXTERNAL_ID|SHARD|ROW_IN_SHARD|MODEL|LANGUAGE|TOXIC|SOURCE_REDACTED|raw_chars|raw_turns|REDACTED_SPANS|N_TURNS|TOTAL_CHARS|TYPE_TOKEN_RATIO|UPPERCASE_RATIO|DIGIT_RATIO|COMPRESSION_RATIO|USER_CHAR_SHARE|MEAN_MAX_TURN_RATIO|WORDS_PER_1K_CHAR|TURNS_PER_1K_CHAR|PARAGRAPHS_PER_TURN|CODE_FENCES_PER_1K_CHAR|HEADERS_PER_1K_CHAR|LIST_ITEMS_PER_1K_CHAR|COLONS_PER_1K_CHAR|BRACKETS_PER_1K_CHAR|ROLE_ALTERNATION_RATIO|DUPLICATE_TURN_RATIO|USER_ASSISTANT_CHAR_RATIO|TURN_CHAR_CV|TURN_LENGTH_ENTROPY|QUESTION_PER_1K_CHAR|EXCLAM_PER_1K_CHAR|EQUAL_PER_1K_CHAR|SEMICOLON_PER_1K_CHAR|PIPE_PER_1K_CHAR|HEADER_LEVEL_MEAN|HEADER_LEVEL_MAX|USER_TURN_MEAN|ASSISTANT_TURN_MEAN|RESPONSE_EXPANSION_RATIO|R1_COMPATIBLE_SCORE|SURFACE_FREE_SCORE,,False,False,FRESH_POPULATION_CANDIDATE,
train-00000-of-00007.parquet,C:\RSOS\Training data\training data\train-00000-of-00007.parquet,True,231962042,0,19377,14,id|model_a|model_b|winner|evaluation_session_id|evaluation_order|conversation_a|conversation_b|full_conversation|conv_metadata|category_tag|language|is_code|timestamp,evaluation_session_id,False,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00049-of-00086.parquet,C:\RSOS\Training data\training data\train-00049-of-00086.parquet,True,103170595,49,37208,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00080-of-00086.parquet,C:\RSOS\Training data\training data\train-00080-of-00086.parquet,True,186001659,80,37207,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
train-00085-of-00086.parquet,C:\RSOS\Training data\training data\train-00085-of-00086.parquet,True,496266956,85,37207,14,conversation_hash|model|timestamp|conversation|turn|language|openai_moderation|detoxify_moderation|toxic|redacted|state|country|hashed_ip|header,,True,True,HISTORICAL_OVERLAP_CANDIDATE,
wildchat_post.jsonl,C:\RSOS\Training data\wildchat_post.jsonl,True,751096337,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat_post2.jsonl,C:\RSOS\Training data\wildchat_post2.jsonl,True,1860797957,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat.jsonl,C:\RSOS\wildchat_split\wildchat.jsonl,True,590159486,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat_part_001.jsonl,C:\RSOS\wildchat_split\wildchat_part_001.jsonl,True,104849884,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat_part_002.jsonl,C:\RSOS\wildchat_split\wildchat_part_002.jsonl,True,104844822,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat_part_003.jsonl,C:\RSOS\wildchat_split\wildchat_part_003.jsonl,True,104855613,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat_part_004.jsonl,C:\RSOS\wildchat_split\wildchat_part_004.jsonl,True,104803527,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat_part_005.jsonl,C:\RSOS\wildchat_split\wildchat_part_005.jsonl,True,104867699,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
wildchat_part_006.jsonl,C:\RSOS\wildchat_split\wildchat_part_006.jsonl,True,65975149,,,0,,,False,False,FRESH_POPULATION_CANDIDATE,
