SOURCE_FAMILY,CLASSIFICATION,FILE_NAME,FULL_PATH,INVALID_EXCERPT,DEVELOPMENT_EXCERPT
F2,DEVELOPMENT_AUDIT_ONLY,F1_DEV_STATUS_LEDGER.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_DEV_LMARENA_BLIND_R1\06_STATUS_LEDGER\F1_DEV_STATUS_LEDGER.csv,,"_FIRST_ROW_RETENTION,PASS,1.0,DEVELOPMENT RELATIONAL_DEPENDENCE_CALIBRATION,STRONG_RELATIONAL_RECOVERABILITY,0.9878275419853179,DEVELOPMENT BLIND_STRUCTURAL_DISCOVERY,MEASURED,3.0,DEVELOPMENT_ONLY LLM_GATED_COMPARATOR,UNTESTED,,NONE F2_EXTERNAL_POPULATION_RARITY,NOT_RUN_RESERVED,,NONE F3_PROSPECTIVE_REPLICATION,NOT_ELIGIBLE_HISTORICAL_DATA,,NONE "
V12,DEVELOPMENT_AUDIT_ONLY,R5_SUMMARY.json,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,,"ons"": 0, ""combined_holdout_min_distance"": 3.5962672296580367, ""combined_holdout_exact_6dp_collisions"": 0, ""interpretation"": { ""graph_specificity"": ""Development collision audit only"", ""operator_specificity"": ""Structural operator calibration only"", ""combined_specificity"": ""Development collision audit only"", ""rsos_specific_real_corpus"": ""UNTESTED"", "
F1,DEVELOPMENT_AUDIT_ONLY,F1_DEV_SUMMARY.json,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.json,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""completed_utc"": ""2026-09-11T16:27:47.976916+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""rows"": 38754, ""train_rows"": 19406, ""validation_rows"": 9634, ""development_holdout_rows"": 9714, ""primary_feature_count"": 14, ""pca_components"": 10, ""selected_k"": 3, "
F1,DEVELOPMENT_AUDIT_ONLY,F1_DEV_SUMMARY.txt,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_DEV_SUMMARY.txt,,"F1-DEV LM ARENA BLIND STRUCTURAL REDISCOVERY R1 ROLE DEVELOPMENT ONLY ROWS Total: 38,754 Train: 19,406 Validation: 9,634 Development holdout: 9,714 PRIMARY STRUCTURAL FEATURES 14 PCA COMPONENTS 10 SELECTED BLIND U-CLUSTERS 3 RELATIONAL DEPENDEN"
F1,DEVELOPMENT_AUDIT_ONLY,F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\00_MANIFEST\F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json,,"{ ""version"": ""F1_DEV_LMARENA_BLIND_R1"", ""frozen_utc"": ""2026-09-11T16:27:44.785147+00:00"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""confirmatory_claim_allowed"": false, ""master_seed"": 120918, ""blind_source"": ""C:\\RSOS\\Training data\\LMARENA_V12_V18_UPDATED\\04_BLIND_STRUCTURAL_MATRIX\\train-00000-of-0"
F1,DEVELOPMENT_AUDIT_ONLY,F1_DEV_STATUS_LEDGER.csv,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1\06_STATUS_LEDGER\F1_DEV_STATUS_LEDGER.csv,,"_FIRST_ROW_RETENTION,PASS,1.0,DEVELOPMENT RELATIONAL_DEPENDENCE_CALIBRATION,STRONG_RELATIONAL_RECOVERABILITY,0.9878275419853179,DEVELOPMENT BLIND_STRUCTURAL_DISCOVERY,MEASURED,3.0,DEVELOPMENT_ONLY LLM_GATED_COMPARATOR,UNTESTED,,NONE F2_EXTERNAL_POPULATION_RARITY,NOT_RUN_RESERVED,,NONE F3_PROSPECTIVE_REPLICATION,NOT_ELIGIBLE_HISTORICAL_DATA,,NONE "
WF2,INVALIDATED_OR_SUPERSEDED,WF2_FINAL_FREEZE_RECORD.txt,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\08_FINAL_FREEZE\WF2_FINAL_FREEZE_RECORD.txt,C 560 / 560 GOOGLE 560 / 560 Original malformed-response generations were preserved separately before technical retries. Frozen-validator audit: RAW CELLS: 1680 VALID: 1511 INVALID: 169 Provider frozen-valid: ANTHROPIC: 420 / 560 GOOGLE: 557 / 560 OPENAI: 534 / 560 The dominant invalid reason was PLUS. The frozen instruction explicitly required PLUS ,
WF2,INVALIDATED_OR_SUPERSEDED,WF2_ACTIVE_VALIDATION_AUDIT.csv,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\08_FINAL_FREEZE\ACTIVE_VALIDATION_AUDIT\WF2_ACTIVE_VALIDATION_AUDIT.csv,"4d492ecc5d09f5.json,GOOGLE,gemini-3.8-flash,1146,E9_DELETE,True,COMPLETE,PARSE_OK,VALID,OK 004b54a192b5c52743b5681a.json,OPENAI,gpt-5.6-terra,1155,E8_DELETE,True,COMPLETE,PARSE_OK,INVALID,PLUS 004c14024d990e200dba4215.json,OPENAI,gpt-5.6-terra,1158,R_DEGREE_MATCHED_REWIRE,True,COMPLETE,PARSE_OK,VALID,OK 0054e8c15a6265795e815e43.json,OPENAI,gpt-5.6-terra,1143,E3_DEL",
WF2,INVALIDATED_OR_SUPERSEDED,WF2_ACTIVE_VALIDATION_AUDIT.csv,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\POSTRUN_VALIDATION_AUDIT\WF2_ACTIVE_VALIDATION_AUDIT.csv,"4d492ecc5d09f5.json,GOOGLE,gemini-3.8-flash,1146,E9_DELETE,True,COMPLETE,PARSE_OK,VALID,OK 004b54a192b5c52743b5681a.json,OPENAI,gpt-5.6-terra,1155,E8_DELETE,True,COMPLETE,PARSE_OK,INVALID,PLUS 004c14024d990e200dba4215.json,OPENAI,gpt-5.6-terra,1158,R_DEGREE_MATCHED_REWIRE,True,COMPLETE,PARSE_OK,VALID,OK 0054e8c15a6265795e815e43.json,OPENAI,gpt-5.6-terra,1143,E3_DEL",
WF1-P0,DEVELOPMENT_AUDIT_ONLY,00_PROTOCOL.txt,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\00_PROTOCOL.txt,,"WF1-P0 HISTORICAL CORPUS STRUCTURAL-DYNAMIC BRIDGE Version: WF1-P0-v1.0 STATUS: DISCOVERY/AUDIT ONLY PUBLIC EXTERNAL DATA: PROHIBITED IN THIS PHASE Goals: 1. Map recovered historical claim families to measurable corpus features. 2. Measure static structural vectors, trajectories"
WF1-A,INVALIDATED_OR_SUPERSEDED,WF1_A_FAILURE_DIAGNOSTIC_20260913_134110.txt,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\DIAGNOSTIC\WF1_A_FAILURE_DIAGNOSTIC_20260913_134110.txt,"1.py:5699: raise RuntimeError( C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\RUNNER\RUN_WF1_A_V12_R_CORRECTIVE _CAUSAL_TOPOLOGY_R1.py:5700: f""INCOMPLETE "" C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\RUNNER\RUN_WF1_A_V12_R_CORRECTIVE _CAUSAL_TOPOLOGY_R1.py:5701: f""main_missing={len(missing)} "" C:\",
WF1-A,INVALIDATED_OR_SUPERSEDED,WF1_A_INVALID_PLUS_MECHANISM_AUDIT_20260913_134332.txt,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\DIAGNOSTIC\WF1_A_INVALID_PLUS_MECHANISM_AUDIT_20260913_134332.txt," indent=2 5694: ), 5695: encoding=""utf-8"" 5696: ) 5697: 5698: if missing or nmissing: 5699: raise RuntimeError( 5700: f""INCOMPLETE "" 5701: f""main_missing={len(missing)} "" 5702: f""native_missing={len(nmissing)}. "" 5703: ""Rerun exact frozen runner."" 5704: ) 5705:",
WF1-A,INVALIDATED_OR_SUPERSEDED,WF1_A_V12_R_PREREGISTERED_PROTOCOL.md,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PROTOCOL\WF1_A_V12_R_PREREGISTERED_PROTOCOL.md,s but called the Responses API using legacy `json_object` mode. WF1-A sends those frozen schemas through strict `json_schema` Structured Outputs. Purpose: reduce malformed-object/invalid-key output without changing the scientific topology task. ### C2 — E7_DELETE switch dependency Original E7 is the switch-linked edge 3→1. Deleting it while leaving the original s,
WF1-A,INVALIDATED_OR_SUPERSEDED,WF1_A_FAILURE_DIAGNOSTIC_20260913_134110.txt,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\DIAGNOSTIC\WF1_A_FAILURE_DIAGNOSTIC_20260913_134110.txt,"1.py:5699: raise RuntimeError( C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\RUNNER\RUN_WF1_A_V12_R_CORRECTIVE _CAUSAL_TOPOLOGY_R1.py:5700: f""INCOMPLETE "" C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\RUNNER\RUN_WF1_A_V12_R_CORRECTIVE _CAUSAL_TOPOLOGY_R1.py:5701: f""main_missing={len(missing)} "" C:\",
WF1-A,INVALIDATED_OR_SUPERSEDED,WF1_A_INVALID_PLUS_MECHANISM_AUDIT_20260913_134332.txt,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\DIAGNOSTIC\WF1_A_INVALID_PLUS_MECHANISM_AUDIT_20260913_134332.txt," indent=2 5694: ), 5695: encoding=""utf-8"" 5696: ) 5697: 5698: if missing or nmissing: 5699: raise RuntimeError( 5700: f""INCOMPLETE "" 5701: f""main_missing={len(missing)} "" 5702: f""native_missing={len(nmissing)}. "" 5703: ""Rerun exact frozen runner."" 5704: ) 5705:",
WF1-A,INVALIDATED_OR_SUPERSEDED,WF1_A_V12_R_PREREGISTERED_PROTOCOL.md,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PUBLICATION\WF1_A_WF1_B_GITHUB_PROVENANCE_PACKAGE_v1\WF1_A\PROTOCOL\WF1_A_V12_R_PREREGISTERED_PROTOCOL.md,s but called the Responses API using legacy `json_object` mode. WF1-A sends those frozen schemas through strict `json_schema` Structured Outputs. Purpose: reduce malformed-object/invalid-key output without changing the scientific topology task. ### C2 — E7_DELETE switch dependency Original E7 is the switch-linked edge 3→1. Deleting it while leaving the original s,
