feature,discovery_hits,discovery_N,discovery_rate,background_hits,background_N,background_rate,log_prevalence_ratio,frozen_weight,kernel_edge_count,kernel_fraction,kernel_families,K1_PRODUCTION,K2_REENTRY,K3_META_RELATION,K4_LOCAL_TARGET,K5_CONSERVATION,K6_PRESERVATION_REENTRY,K7_RETURN_TO_PROCESS
P12_TREE_GENEALOGY,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486,0,0.0,GENEALOGY,0,0,0,0,0,0,0
P28_SELF_MODEL_CONTROL,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486,0,0.0,,0,0,0,0,0,0,0
P25_SYSTEM_ABOVE_SYSTEM,34,2701,0.012948575656677765,14,7746,0.0019359834796076408,1.9003703386376425,1.9003703386376425,0,0.0,,0,0,0,0,0,0,0
P01_VERTICAL_NESTING,17,2701,0.006659267480577136,8,7746,0.0011615900877645843,1.7462196588103842,1.7462196588103842,0,0.0,,0,0,0,0,0,0,0
P04_RECURSIVE_SELF_OBSERVATION,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842,0,0.0,RECURSIVE_REENTRY,0,0,0,0,0,0,0
P08_STATE_SELF_OBSERVATION,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842,0,0.0,STATE_MACHINE,0,0,0,0,0,0,0
P10_CROSS_LEVEL_SIGNAL,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842,0,0.0,,0,0,0,0,0,0,0
P13_PARENT_CHILD_INHERITANCE,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842,0,0.0,GENEALOGY,0,0,0,0,0,0,0
P20_CROSS_SCALE_CONTROL,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842,0,0.0,,0,0,0,0,0,0,0
P30_FULL_SELF_REFERENTIAL_TOPOLOGY,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842,0,0.0,,0,0,0,0,0,0,0
P26_SYSTEM_BELOW_SYSTEM,24,2701,0.00924898261191269,14,7746,0.0019359834796076408,1.5638981020164295,1.5638981020164295,0,0.0,,0,0,0,0,0,0,0
P11_NODE_SUBNODE_RECURSION,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388,0,0.0,,0,0,0,0,0,0,0
P14_MICRO_RECURSION,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388,0,0.0,,0,0,0,0,0,0,0
P27_SYSTEM_INSIDE_SYSTEM,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388,0,0.0,,0,0,0,0,0,0,0
P24_BECOMING_ONE,18,2701,0.007029226785053644,28,7746,0.0037429013939081052,0.6302156274304053,0.6302156274304053,0,0.0,,0,0,0,0,0,0,0
