archive,source_family,artifact_classes,member
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FEATURE_CONTRACT,01_CALIBRATION/F1_CALIBRATION_FEATURE_IMPORTANCE.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,,01_CALIBRATION/F1_RELATIONAL_DEPENDENCE_CALIBRATION.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET,02_BLIND_DISCOVERY/F1_BLIND_FEATURE_RELATION_GRAPH_PREHOLDOUT.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,,02_BLIND_DISCOVERY/F1_BLIND_U_ASSIGNMENTS.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,,02_BLIND_DISCOVERY/F1_BLIND_U_ASSIGNMENTS.parquet
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,,02_BLIND_DISCOVERY/F1_CLUSTER_MODEL_SELECTION.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FEATURE_CONTRACT,02_BLIND_DISCOVERY/F1_PRIMARY_DERIVED_BLIND_FEATURE_MATRIX.parquet
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,,02_BLIND_DISCOVERY/F1_U_CENTROIDS.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,MATCHED_SOURCE_SUBSET,04_DEVELOPMENT_HOLDOUT/F1_BLIND_CLUSTER_METRICS.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,MATCHED_SOURCE_SUBSET,04_DEVELOPMENT_HOLDOUT/F1_BLIND_GRAPH_STABILITY.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET,04_DEVELOPMENT_HOLDOUT/F1_FEATURE_RELATION_GRAPH_HOLDOUT.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,05_POSTFREEZE_UNBLIND_AUDIT/F1_POSTFREEZE_CONFOUND_AUDIT.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FEATURE_CONTRACT|FREEZE_OR_MANIFEST,05_POSTFREEZE_UNBLIND_AUDIT/F1_PRESERVE_FIRST_FEATURE_MISSINGNESS.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,05_POSTFREEZE_UNBLIND_AUDIT/F1_PRESERVE_FIRST_RETENTION.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,MATCHED_SOURCE_SUBSET|FREEZE_OR_MANIFEST|PROVIDER_OR_MODEL_PRIOR,05_POSTFREEZE_UNBLIND_AUDIT/F1_U_BY_PROVIDER_DEVELOPMENT_HOLDOUT.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,,06_STATUS_LEDGER/F1_DEV_STATUS_LEDGER.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,,F1_DEV_COMPLETE.marker
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/INPUT_SPLIT_SHA256.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,MATCHED_SOURCE_SUBSET|FREEZE_OR_MANIFEST,00_MANIFEST/R2_FROZEN_SPEC_BEFORE_HOLDOUT.json
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/R2_FROZEN_SPEC_SHA256.txt
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/R2_SUMMARY.json
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/R2_SUMMARY.txt
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,MATCHED_SOURCE_SUBSET,01_HARDENED_CALIBRATION/PREHOLDOUT_CALIBRATION.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,MATCHED_SOURCE_SUBSET,02_CLUSTER_NULL_BENCHMARK/PREHOLDOUT_CLUSTER_NULL_SELECTION.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,MATCHED_SOURCE_SUBSET,04_PHYSICALLY_SEALED_HOLDOUT/HARDENED_HOLDOUT_RESULTS.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FEATURE_CONTRACT|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,05_POSTFREEZE_AUDIT/DIRECT_CONTINUOUS_FEATURE_PREDICTABILITY.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,05_POSTFREEZE_AUDIT/POSTFREEZE_CLUSTER_ASSOCIATION_AUDIT.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,,06_OMISSION_LEDGER/NO_SILENT_OMISSION_LEDGER.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FROZEN_DETECTOR,07_FROZEN_MODELS/ALL_FROZEN_MODEL.joblib
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FROZEN_DETECTOR,07_FROZEN_MODELS/CODE_FROZEN_MODEL.joblib
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,FROZEN_DETECTOR,07_FROZEN_MODELS/NONCODE_FROZEN_MODEL.joblib
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1,,F1_DEV_R2_COMPLETE.marker
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/OUTPUT_SHA256_MANIFEST.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,MATCHED_SOURCE_SUBSET|FREEZE_OR_MANIFEST,00_MANIFEST/R3_FROZEN_SPEC_BEFORE_HOLDOUT.json
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/R3_FROZEN_SPEC_SHA256.txt
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/R3_SUMMARY.json
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/R3_SUMMARY.txt
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,MATCHED_SOURCE_SUBSET,02_MATCHED_NULLS/HARDENED_NULL_RESULTS.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,MATCHED_SOURCE_SUBSET,03_CLUSTER_CURVES_NO_FORCED_K/HOLDOUT_CLUSTER_CURVE_NO_FORCED_K.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,,03_CLUSTER_CURVES_NO_FORCED_K/VALIDATION_CLUSTER_CURVE_NO_FORCED_K.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,FEATURE_CONTRACT|FROZEN_SCORER_OR_RUNNER|FREEZE_OR_MANIFEST,05_POSTFREEZE_NUISANCE_AUDIT/COMPLETE_CONTINUOUS_FEATURE_NUISANCE_PREDICTABILITY.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,FREEZE_OR_MANIFEST|PROVIDER_OR_MODEL_PRIOR,05_POSTFREEZE_NUISANCE_AUDIT/WITHIN_PROVIDER_GENERIC_DEPENDENCE.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,,07_NO_SILENT_OMISSION/NO_SILENT_OMISSION_LEDGER.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,,08_FROZEN_MODELS/FROZEN_PIPELINE.joblib
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1,,F1_DEV_R3_COMPLETE.marker
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/01_FROZEN_EVIDENCE_ARCHIVES/
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/01_FROZEN_EVIDENCE_ARCHIVES/F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/01_FROZEN_EVIDENCE_ARCHIVES/F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_LMARENA_BLIND_R1.zip
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/02_F1_FINAL_STATUS_LEDGER.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST|PREVIOUS_ADJUDICATION,F1_FINAL_FREEZE/03_F1_FINAL_ADJUDICATION.md
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/04_F1_CLAIM_LADDER.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/07_CHAIN_OF_CUSTODY.json
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/08_ORIGINAL_REMOTE_CONTENT_MANIFEST.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/09_LOCAL_SOURCE_RESOLUTION.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/10_UNAVAILABLE_SOURCE_LEDGER.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/11_LOCAL_FREEZE_CORRECTION.txt
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/12_RAW_CORPUS_SHA256_MANIFEST.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/13_LOCAL_FINAL_CONTENT_MANIFEST.csv
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1,FREEZE_OR_MANIFEST,F1_FINAL_FREEZE/README_F1_FINAL.txt
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FREEZE_OR_MANIFEST,F1_BR1_RESULTS_PACKAGE/00_MANIFEST/COMPLETE_CURRENT_OUTPUT_SHA256.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FREEZE_OR_MANIFEST,F1_BR1_RESULTS_PACKAGE/00_MANIFEST/INPUT_SHA256.txt
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FREEZE_OR_MANIFEST,F1_BR1_RESULTS_PACKAGE/00_MANIFEST/PACKAGE_STATUS.txt
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/02_LABELS/build_message_mentions.py
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/02_LABELS/MESSAGE_LINEAGE_MENTIONS.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/EARLY_NEG_IDS.json
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/EARLY_NEG_MATCH_REGISTRY.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/EARLY_POS_IDS.json
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/EARLY_POS_USABLE.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,MATCHED_SOURCE_SUBSET,F1_BR1_RESULTS_PACKAGE/04_SPLITS/HOLDOUT_MATCHED_PAIRS.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/LATER_HOLD_NEG_IDS.json
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/LATER_HOLD_POS_IDS.json
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/LATER_NEG_POOL_REGISTRY.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/LATER_POS_REGISTRY.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/LATER_VAL_NEG_IDS.json
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,,F1_BR1_RESULTS_PACKAGE/04_SPLITS/LATER_VAL_POS_IDS.json
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,MATCHED_SOURCE_SUBSET,F1_BR1_RESULTS_PACKAGE/04_SPLITS/VALIDATION_MATCHED_PAIRS.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FEATURE_CONTRACT,F1_BR1_RESULTS_PACKAGE/05_FEATURES/build_f1_features.py
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FEATURE_CONTRACT,F1_BR1_RESULTS_PACKAGE/05_FEATURES/EARLY_NEG_DROPOUT_FEATURES.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FEATURE_CONTRACT,F1_BR1_RESULTS_PACKAGE/05_FEATURES/EARLY_NEG_FEATURES.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FEATURE_CONTRACT,F1_BR1_RESULTS_PACKAGE/05_FEATURES/EARLY_POS_DROPOUT_FEATURES.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FEATURE_CONTRACT,F1_BR1_RESULTS_PACKAGE/05_FEATURES/EARLY_POS_FEATURES.csv
C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,F1,FEATURE_CONTRACT,F1_BR1_RESULTS_PACKAGE/05_FEATURES/extract_dropout_fast.py
